AGE OF MOTHER,AGE OF FATHER,YEAR,COUNT
20,20-24,2017,75
20,25-29,2017,29
20,30-34,2017,6
20,35-39,2017,5
20,40-44,2017,0
20,45-49,2017,0
20,50-54,2017,0
20,55-59,2017,0
20,60-64,2017,0
20,65+,2017,0
20,Not Stated,2017,44
21,<20,2017,5
21,20-24,2017,102
21,25-29,2017,50
21,30-34,2017,10
21,35-39,2017,4
21,40-44,2017,1
21,45-49,2017,3
21,50-54,2017,1
21,55-59,2017,0
21,60-64,2017,0
21,65+,2017,0
21,Not Stated,2017,32
22,<20,2017,3
22,20-24,2017,102
22,25-29,2017,73
22,30-34,2017,23
22,35-39,2017,11
22,40-44,2017,1
22,45-49,2017,0
22,50-54,2017,0
22,55-59,2017,0
22,60-64,2017,0
22,65+,2017,0
22,Not Stated,2017,49
23,<20,2017,1
23,20-24,2017,102
23,25-29,2017,104
23,30-34,2017,32
23,35-39,2017,6
23,40-44,2017,0
23,45-49,2017,1
23,50-54,2017,1
23,55-59,2017,0
23,60-64,2017,0
23,65+,2017,0
23,Not Stated,2017,47
24,<20,2017,0
24,20-24,2017,81
24,25-29,2017,144
24,30-34,2017,44
24,35-39,2017,15
24,40-44,2017,3
24,45-49,2017,3
24,50-54,2017,0
24,55-59,2017,0
24,60-64,2017,0
24,65+,2017,0
24,Not Stated,2017,43
25,<20,2017,0
25,20-24,2017,48
25,25-29,2017,219
25,30-34,2017,77
25,35-39,2017,16
25,40-44,2017,6
25,45-49,2017,4
25,50-54,2017,2
25,55-59,2017,1
25,60-64,2017,0
25,65+,2017,0
25,Not Stated,2017,33
26,<20,2017,0
26,20-24,2017,25
26,25-29,2017,232
26,30-34,2017,90
26,35-39,2017,28
26,40-44,2017,7
26,45-49,2017,2
26,50-54,2017,1
26,55-59,2017,2
26,60-64,2017,0
26,65+,2017,0
26,Not Stated,2017,37
27,<20,2017,1
27,20-24,2017,14
27,25-29,2017,237
27,30-34,2017,158
27,35-39,2017,46
27,40-44,2017,8
27,45-49,2017,2
27,50-54,2017,2
27,55-59,2017,1
27,60-64,2017,0
27,65+,2017,0
27,Not Stated,2017,34
28,<20,2017,0
28,20-24,2017,9
28,25-29,2017,205
28,30-34,2017,168
28,35-39,2017,46
28,40-44,2017,10
28,45-49,2017,2
28,50-54,2017,0
28,55-59,2017,0
28,60-64,2017,0
28,65+,2017,0
28,Not Stated,2017,29
29,<20,2017,0
29,20-24,2017,6
29,25-29,2017,151
29,30-34,2017,234
29,35-39,2017,71
29,40-44,2017,16
29,45-49,2017,4
29,50-54,2017,1
29,55-59,2017,0
29,60-64,2017,1
29,65+,2017,0
29,Not Stated,2017,20
30,<20,2017,1
30,20-24,2017,10
30,25-29,2017,89
30,30-34,2017,357
30,35-39,2017,88
30,40-44,2017,23
30,45-49,2017,5
30,50-54,2017,2
30,55-59,2017,1
30,60-64,2017,0
30,65+,2017,0
30,Not Stated,2017,11
31,<20,2017,0
31,20-24,2017,3
31,25-29,2017,65
31,30-34,2017,339
31,35-39,2017,119
31,40-44,2017,34
31,45-49,2017,8
31,50-54,2017,5
31,55-59,2017,0
31,60-64,2017,1
31,65+,2017,0
31,Not Stated,2017,18
32,<20,2017,0
32,20-24,2017,1
32,25-29,2017,38
32,30-34,2017,289
32,35-39,2017,125
32,40-44,2017,41
32,45-49,2017,8
32,50-54,2017,5
32,55-59,2017,3
32,60-64,2017,0
32,65+,2017,0
32,Not Stated,2017,21
33,<20,2017,0
33,20-24,2017,0
33,25-29,2017,26
33,30-34,2017,229
33,35-39,2017,156
33,40-44,2017,38
33,45-49,2017,6
33,50-54,2017,3
33,55-59,2017,0
33,60-64,2017,0
33,65+,2017,0
33,Not Stated,2017,22
34,<20,2017,0
34,20-24,2017,1
34,25-29,2017,16
34,30-34,2017,146
34,35-39,2017,183
34,40-44,2017,45
34,45-49,2017,12
34,50-54,2017,2
34,55-59,2017,0
34,60-64,2017,0
34,65+,2017,0
34,Not Stated,2017,13
35,<20,2017,1
35,20-24,2017,0
35,25-29,2017,12
35,30-34,2017,102
35,35-39,2017,189
35,40-44,2017,58
35,45-49,2017,22
35,50-54,2017,5
35,55-59,2017,0
35,60-64,2017,1
35,65+,2017,0
35,Not Stated,2017,15
36,<20,2017,0
36,20-24,2017,0
36,25-29,2017,6
36,30-34,2017,46
36,35-39,2017,161
36,40-44,2017,63
36,45-49,2017,10
36,50-54,2017,3
36,55-59,2017,1
36,60-64,2017,1
36,65+,2017,0
36,Not Stated,2017,17
37,<20,2017,0
37,20-24,2017,1
37,25-29,2017,8
37,30-34,2017,48
37,35-39,2017,139
37,40-44,2017,46
37,45-49,2017,16
37,50-54,2017,3
37,55-59,2017,2
37,60-64,2017,0
37,65+,2017,0
37,Not Stated,2017,11
38,<20,2017,0
38,20-24,2017,0
38,25-29,2017,5
38,30-34,2017,19
38,35-39,2017,76
38,40-44,2017,58
38,45-49,2017,21
38,50-54,2017,5
38,55-59,2017,2
38,60-64,2017,0
38,65+,2017,0
38,Not Stated,2017,16
39,<20,2017,0
39,20-24,2017,0
39,25-29,2017,1
39,30-34,2017,17
39,35-39,2017,47
39,40-44,2017,50
39,45-49,2017,15
39,50-54,2017,3
39,55-59,2017,0
39,60-64,2017,1
39,65+,2017,0
39,Not Stated,2017,12
40,<20,2017,0
40,20-24,2017,0
40,25-29,2017,2
40,30-34,2017,5
40,35-39,2017,20
40,40-44,2017,28
40,45-49,2017,13
40,50-54,2017,2
40,55-59,2017,0
40,60-64,2017,0
40,65+,2017,1
40,Not Stated,2017,3
41,<20,2017,0
41,20-24,2017,0
41,25-29,2017,2
41,30-34,2017,6
41,35-39,2017,13
41,40-44,2017,24
41,45-49,2017,13
41,50-54,2017,1
41,55-59,2017,2
41,60-64,2017,0
41,65+,2017,0
41,Not Stated,2017,3
42,<20,2017,0
42,20-24,2017,0
42,25-29,2017,1
42,30-34,2017,0
42,35-39,2017,1
42,40-44,2017,15
42,45-49,2017,9
42,50-54,2017,3
42,55-59,2017,0
42,60-64,2017,0
42,65+,2017,0
42,Not Stated,2017,3
43,<20,2017,0
43,20-24,2017,0
43,25-29,2017,1
43,30-34,2017,2
43,35-39,2017,4
43,40-44,2017,4
43,45-49,2017,6
43,50-54,2017,5
43,55-59,2017,1
43,60-64,2017,0
43,65+,2017,0
43,Not Stated,2017,0
44,<20,2017,0
44,20-24,2017,0
44,25-29,2017,1
44,30-34,2017,2
44,35-39,2017,1
44,40-44,2017,2
44,45-49,2017,4
44,50-54,2017,1
44,55-59,2017,1
44,60-64,2017,0
44,65+,2017,0
44,Not Stated,2017,1
45,<20,2017,0
45,20-24,2017,0
45,25-29,2017,0
45,30-34,2017,0
45,35-39,2017,1
45,40-44,2017,1
45,45-49,2017,6
45,50-54,2017,2
45,55-59,2017,0
45,60-64,2017,0
45,65+,2017,0
45,Not Stated,2017,0
46,<20,2017,0
46,20-24,2017,0
46,25-29,2017,0
46,30-34,2017,0
46,35-39,2017,0
46,40-44,2017,1
46,45-49,2017,0
46,50-54,2017,0
46,55-59,2017,0
46,60-64,2017,0
46,65+,2017,0
46,Not Stated,2017,0
47,<20,2017,0
47,20-24,2017,0
47,25-29,2017,0
47,30-34,2017,0
47,35-39,2017,1
